pred_id,sub_name,obj_name,predicate,label,sentence
121284660,Motor Neurons,Muscle Fibers,INTERACTS_WITH,1,These modifications of 【motoneuron】 activity were associated with the change in the phenotype of the muscle from fast to slow contracting and with a conversion of the 【muscle fibres】 from a fast to a slow type.
112866649,Hematopoietic stem cells,Neurons,INTERACTS_WITH,1,"In chick parasympathetic ciliary ganglion the neuronal birthdate is well defined, between 2.5 and 5.5 days of embryonic development, and neuronal 【precursor cells】 that are able to differentiate into 【neurons】 in vitro can be isolated from E4.5 ganglia."
126932733,Adipocytes,Neurons,INTERACTS_WITH,1,"This is indicated by decrease of 【adipocyte】 hormone leptin, which has inhibitory effects on excitatory hypothalamic 【neurons】."
207480473,Diploid Cell,Clone Cells,INTERACTS_WITH,0,"The positive impacts of 【cloning】 on genetic gain in camel species are indisputable, considering the unique ability of cloning to produce a large number of offspring of a predefined sex and genotype using 【somatic cells】 obtained from elite animals, live or dead, and within any age category."
113697748,thymocyte,Epithelial Cells,INTERACTS_WITH,1,The stimulating effect of the hormone on the epithelium-induced differentiation of 【thymocytes】 is mediated by the humoral factors of 【epithelial cells】.
131113337,Osteocytes,Cell of bone,INTERACTS_WITH,1,"【Osteocytes】, regarded as the mechanical sensor in bone, respond to mechanical stimulation by activating biochemical pathways and mediating the cellular activities of other 【bone cells】."
81961821,Dendritic Cells,Suppressor T Lymphocyte,INTERACTS_WITH,0,"We here explored, whether the efficacy of vaccination with tumor-exosome (TEX)-loaded 【dendritic cells】 (DC) can be improved by combining with drugs affecting myeloid-derived 【suppressor cells】 (MDSC)."
118327014,Mesenchymal Stem Cells,"Myocytes, Cardiac",INTERACTS_WITH,0,【Mesenchymal stem cells】 could differentiate into 【cardiomyocytes】 in vitro and have been shown to reconstitute the impaired myocardium in vivo.
204133286,spindle cell,"Dendritic Cells, Follicular",INTERACTS_WITH,0,"【Spindle cells】 occupied were positive for the 【FDC】 markers CD21, CD23, and CD35."
109204817,Stromal Cells,Decidual Cell,INTERACTS_WITH,1,Progestin stimulates the production PRL and its receptor when 【stromal cells】 transform into 【decidual cells】.
210816518,macrophage,"Tumor cells, uncertain whether benign or malignant",INTERACTS_WITH,1,"Here, we developed a novel spheroid model to evaluate 【macrophage】-mediated 【tumor cell】 recruitment."
72347462,Neural Stem Cell,Neurons,INTERACTS_WITH,0,The experimental findings indicate that 【neural stem cells】 from newborn rat campus could be cultured and induced to differentiate into functional 【neurons】 under defined conditions in vitro.
208383010,Mesenchymal Stem Cells,Th17 Cells,INTERACTS_WITH,1,"【GMSCs】 strongly influenced the phenotypes of 【Th17 cells】, suppressing the formation of the highly inflammatory CCR6-CCR2+ phenotype and enhancing the production of interleukin (IL) -10 in the CCR6+CCR2+ phenotype."
156590956,Bone Marrow Cells,Endothelial Cells,INTERACTS_WITH,1,CONCLUSION: These results indicate that RA 【bone marrow CD34+ cells】 have enhanced capacities to differentiate into 【endothelial cells】 in relation to synovial vascularization.
189062808,Tumor-Associated Macrophage,Breast Cancer Cell,INTERACTS_WITH,0,"However, the potential mechanisms of the interaction between 【breast cancer cells】 and 【TAMs】 remain unclear."
186888278,Stem cell of epidermis,Epidermal cells,INTERACTS_WITH,1,"When the skin is wounded, 【epidermal stem cells】 in the hair follicle activate and start migrating into the wound site, differentiating into 【epidermal cells】. and contributing to the reepithelialization of the wound."
127761863,Natural Killer Cells,Hepatocyte,INTERACTS_WITH,1,Interferon-gamma secreted by NK56(+bright) 【NK cells】 has a direct cytotoxic effect on infected 【hepatocytes】.
209537742,Immune Cell,neutrophil,INTERACTS_WITH,0,"Shotgun proteomics revealed persistent inflammatory patterns in convalescent samples including dysfunction of salivary innate 【immune cells】, such as 【neutrophil】 markers (e.g., myeloperoxidase), and clotting factors in plasma (e.g., fibrinogen), with positive correlations to acute COVID-19 disease severity."
109732601,T-Lymphocyte,Neoplastic Cell,INTERACTS_WITH,1,The absence of specific tumor antigen as well as the weak expression of major histocompatibility complex (MHC) molecules hinder the recognition of the 【neoplastic cells】 by 【T lymphocytes】.
137267058,"Tumor cells, malignant",Normal cell,NEG_INTERACTS_WITH,0,The 1-HSA complex increases approximately three times its cytotoxicity in 【cancer cells】 but has no effect on 【normal cells】 in vitro.
118177457,HL-60 Cells,Peripheral Blood Lymphocyte,INTERACTS_WITH,0,"Importantly, 【HL60 cells】 were more sensitive to drupanin than were Con A-stimulated 【peripheral blood lymphocytes】, whereas the potency of artepillin C was the opposite of that of drupanin."
191269003,Foam Cells,macrophage,INTERACTS_WITH,1,"In conclusion, only alpha-13'-COOH revealed possible antiatherogenic effects due to the reduction of VLDL-induced 【foam cell】 formation in THP-1 【macrophages】."
119225972,"Macrophages, Peritoneal",Armed macrophage,INTERACTS_WITH,0,"Upon nematode infection, murine 【peritoneal macrophages】 synthesize and secrete large amounts of the Ym1 protein, which is a unique functional marker for alternatively 【activated macrophages】 in T(H)2-mediated inflammatory responses."
81110523,Pluripotent Stem Cells,Mesenchymal Stem Cells,INTERACTS_WITH,1,【iPSCs】 were differentiated into 【MSCs】 by a TGFbeta inhibitor.
127035486,Osteoclasts,Giant Cells,INTERACTS_WITH,1,【Osteoclasts】 are terminally differentiated 【multinucleated cells】 which play important roles in not only physiological but also pathophysiological bone resorption.
138004068,Immature reticulocyte,Mature Erythrocytes,INTERACTS_WITH,0,"Whilst Plasmodium vivax exhibits a strong preference for 【immature reticulocytes】, the more pathogenic P. falciparum primarily infects 【mature erythrocytes】."
86849700,monocyte,macrophage,INTERACTS_WITH,0,"In the presence of morphine, cultured 【monocytes】 showed an increase in the fluidity of their membranes as well as an inhibition in their capacity to differentiate into 【macrophages】."
80464266,"Tumor cells, malignant",Normal cell,NEG_INTERACTS_WITH,0,"Strains of Newcastle disease virus with intracerebral pathogenicity indexes significantly above 1.0 have been found to selectively kill many types of 【cancer cells】 while not affecting 【normal nonneoplastic cells】 and are considered to be a viable option for cancer treatment in humans by alternative medical researchers; however, the treatment is not approved for use in the United States by the Food and Drug Administration."
86632347,Leukocytes,B-Lymphocytes,INTERACTS_WITH,0,These results were confirmed by using unseparated peripheral blood 【leukocytes】 or Epstein-Barr virus transformed 【B-cell】 blasts as stimulators.
203098387,Fibroblasts,Adipocytes,NEG_INTERACTS_WITH,0,"Results: TAO-OFs, but not control 【fibroblasts】 (CON-OFs), were readily differentiated into 【adipocytes】 with the commercial medium."
147929971,GABAergic neuron,Astrocytes,INTERACTS_WITH,0,We investigate metabolic interactions between 【astrocytes】 and 【GABAergic neurons】 at steady states corresponding to different activity levels using a six-compartment model and a new methodology based on Bayesian statistics.
121812892,CD4+CD25+ T Lymphocyte,Regulatory T-Lymphocytes,INTERACTS_WITH,0,"Besides, VIP treatment restored in vivo the numbers of TLR2 and TLR4 positive 【CD4+CD25+ T lymphocytes】, augmented by TNBS administration, and increased the expression of molecules involved in 【regulatory T cell】 function, such as Foxp3 and TGF-beta."
81834528,Lymphocyte,T-Lymphocyte,INTERACTS_WITH,0,The selective deficiency of specific 【lymphocyte】 functions in a thymic immunodeficiency with a known defect in DNA repair is consistent with the concept that DNA modulating enzymes are important for 【T cell】 function.
85333287,ciliated cell,Secretory Cell,NEG_INTERACTS_WITH,1,"However, on day 15, 2 days before estrus, the non-【ciliated cells】 differentiate into two morphologically distinct types of 【secretory cells】."
86921424,"Macrophages, Alveolar",macrophage,INTERACTS_WITH,0,"In addition, cytophilic anti-AChR antibodies were shown to be bound in vivo to 【alveolar macrophages】 drawn from severely sick rabbits, as was measured by a direct 125I-AChR binding to such 【macrophages】."
123485870,Neoplastic Cell,Bone Marrow Cells,INTERACTS_WITH,1,"Furthermore, seliciclib inhibited interleukin 6 (IL-6) transcription and secretion triggered by 【tumor cell】 binding to 【BMSCs】."
180830674,Dendritic Cells,"Lymphocytes, Tumor-Infiltrating",INTERACTS_WITH,0,"Moreover, we revealed a mechanism of CmAb-(IL10)2 preventing 【dendritic cell】 (DC)-mediated CD8+ 【tumor-infiltrating lymphocyte】 apoptosis through regulating IFN-gamma production."
136975015,Natural Killer Cells,Dendritic Cells,INTERACTS_WITH,0,"Hence, different to the intestinal tract, in the spleen, Nkrp1g is selectively expressed by a subset of 【NK cells】, thereby potentially allowing for an inhibitory engagement with Clr-g-expressing activated 【DCs】 during immune responses."
176221090,macrophage,Breast Cancer Cell,INTERACTS_WITH,1,"However, the M1 【macrophages】 impacted the highly aggressive mesenchymal-like MDA-MB-231 【breast cancer cells】 to take on a quiescent, epithelial phenotype with re-expression of E-cadherin."
183252488,Erythrocytes,Hela Cells,NEG_INTERACTS_WITH,0,"The PCC liposomes had higher storage stability and gastrointestinal stability, and no obvious hemolytic toxicity to rabbit 【red blood cells】 and no cytotoxicity after incubation with 【Hela cells】."
74118980,Hepatocyte,T-Lymphocyte,INTERACTS_WITH,0,The majority of these studies have identified a critical role for 【liver-stage parasite-directed CD8 T cells】 in providing protection with possible contributions from Plasmodium-specific CD4 【T cells】 or antibodies.
117366223,Th1 Cells,Th2 Cells,INTERACTS_WITH,1,We previously showed that 【Th1 cells】 can increase recruitment of 【Th2 cells】 to the lungs even in the absence of the Th2-specific Ag.
112744810,Enterocytes,Lymphocyte,INTERACTS_WITH,1,Expression of major histocompatibility (MHC) class II molecules by 【enterocytes】 is known to be enhanced in coeliac disease and other disorders characterised by intestinal inflammation--an effect thought to be mediated via intestinal 【lymphocytes】.
117992867,Fibroblasts,T-Lymphocyte,INTERACTS_WITH,0,"In a second experiment, hypoxanthine guanine phosphoribosyltransferase-1-deficient (HPRT(-)) 【fibroblasts】 were transduced with a 【T cell】 (PM1) line-derived cDNA library and selected for HPRT expression."
148118148,"T-Lymphocytes, Cytotoxic",Endothelial Cells,INTERACTS_WITH,1,【Cytotoxic T lymphocytes】 targeting 【endothelial cells】 could be directly monitored by KDR2 and KDR3 Elispots or major histocompatibility complex class I tetramer staining.
207462911,cervical cells,"Tumor cells, malignant",INTERACTS_WITH,0,"The inhibition of CD73 expression with a CD73-targeted siRNA and A2AR blockade with the selective antagonist ZM241385 significantly decreased MRP1 expression and the extrusive capacity of 【CC cells】, making them significantly more sensitive to CP treatment than 【cancer cells】 treated with MK-751, a specific MRP1 inhibitor."
145461738,Pluripotent Stem Cells,Endothelial Cells,INTERACTS_WITH,1,"In this study, human induced 【pluripotent stem (iPS) cells】 were reprogrammed from 1 ml blood of healthy donors and subsequently differentiated into 【endothelial cells】 (iPS-ECs) with typical EC characteristics."
